,ride_id,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
133911,5AEF8C38CE350D4B,W 40 St & 5 Ave,E 7 St & Avenue A,40.752269,-73.982079,40.72621788,-73.98379855,1
149849,578BE30205D7D2F7,W 22 St & 8 Ave,E 13 St & 2 Ave,40.74475148,-73.99915362,40.73153937464073,-73.9853024482727,1
41372,B34C8286F3C7E032,Vesey St & Church St,Murray St & Greenwich St,40.71221958009051,-74.01047229766846,40.71485150526252,-74.01122331619263,1
11093,7C292FFBA76916E3,Pier 40 - Hudson River Park,Bialystoker Pl & Delancey St,40.7277140777778,-74.01129573583603,40.71622644,-73.98261206,1
131621,DEF23E896B2760DB,Vesey Pl & River Terrace,8 Ave & W 31 St,40.7153379,-74.01658354,40.7505853470215,-73.9946848154068,1
153131,3B81FCE479236A85,11 Ave & W 27 St,Lexington Ave & E 24 St,40.751396,-74.005226,40.74025878,-73.98409214,1
85905,DB3038A3D8C01170,2 Ave & E 29 St,W 13 St & 7 Ave,40.741987467,-73.977909207,40.73781509,-73.99994661,1
79576,EFCFE95CA83CC8BC,Bushwick Ave & Linden St,Lewis Ave & Madison St,40.69146,-73.92146,40.686312,-73.935775,1
161883,2E69802398CBF670,Fulton St & Broadway,Washington Park,40.711066,-74.009447,40.6917823,-73.9737299,1
84874,424632320F12AB21,E 33 St & 5 Ave,8 Ave & W 38 St,40.747606993,-73.984943986,40.75461,-73.99177,1
190710,8C141447A18399EF,E 9 St & Avenue C,W 41 St & 8 Ave,40.72521311,-73.97768752,40.75640548,-73.9900262,1
176293,7028F190103F43CB,St Marks Pl & 2 Ave,E 2 St & Avenue C,40.7284186,-73.98713956,40.7208736,-73.98085795,1
123173,E96C429FBDBEAC19,West Broadway & Watts St,W 17 St & 8 Ave,40.72323,-74.00314,40.74177603,-74.00149746,1
196115,B20C8B67D2C62E2B,St Marks Pl & 2 Ave,E 7 St & Ave B,40.7284186,-73.98713956,40.7251285241158,-73.98131668567657,1
51521,5829C66F715A7898,Metropolitan Ave & Stewart Ave,Flushing Ave & Woodward Ave,40.71401,-73.92793,40.71246,-73.91873,1
7418,8F1EF1B7D321CE2C,Henry St & Grand St,Bialystoker Pl & Delancey St,40.714211,-73.981095,40.71622644,-73.98261206,1
14679,507984181363F375,5 Ave & E 103 St,W 147 St & Adam Clayton Powell Blvd,40.7922553,-73.95249933,40.82281,-73.937413,1
193762,1F28A0B0B5BD8B3C,Graham Ave & Withers St,Roebling St & N 4 St,40.7169811,-73.94485918,40.71469,-73.95739,1
113469,BFA410282647FC5C,Broadway & E 14 St,Walker St & Baxter St,40.73454567,-73.99074142,40.717411,-73.999573,1
33934,2AB1A1126A45FB91,Division Ave & Hooper St,Greene Ave & Throop Ave,40.70684203101325,-73.9544353965357,40.6894932,-73.942061,1
177414,A54DAB4A42443178,S 5 Pl & S 5 St,Forsyth St & Broome St,40.710451,-73.960876,40.71893904,-73.99266288,1
124514,2902BFCCA230203C,Barrow St & Hudson St,8 Ave & W 31 St,40.73172428,-74.00674436,40.7505853470215,-73.9946848154068,1
84075,613F884F1E54CF15,W 54 St & 11 Ave,2 Ave & E 55 St,40.768333,-73.992573,40.757920208794026,-73.96638214588165,1
71196,637D3B137FB43DE0,Steinway St & Broadway,Steinway St & 19 Ave,40.75905795418586,-73.91897544264793,40.778089,-73.899558,1
169385,B402D0D40F1426DE,Riverside Blvd & W 67 St,5 Ave & E 78 St,40.777507027547976,-73.98888587951659,40.77632142182271,-73.96427392959595,1
163081,2E754604DFB11FC0,6 Ave & W 33 St,11 Ave & W 41 St,40.74901271,-73.98848395,40.76030096,-73.99884222,1
174831,48A9F0A1F2F6A112,E 138 St & Grand Concourse,Sheridan Ave & E 172 St,40.813224,-73.930605,40.840494,-73.911479,1
192829,69798D754FBC89A3,Riverside Blvd & W 67 St,Broadway & W 53 St,40.777507027547976,-73.98888587951659,40.76344058,-73.98268129,1
47737,C41F311AC3105FD8,E 47 St & 2 Ave,5 Ave & E 63 St,40.75323098,-73.97032517,40.766368,-73.971518,1
6665,EF0374B8F5E5104A,Pike St & Monroe St,1 Ave & E 16 St,40.71173107,-73.99193043,40.73221853,-73.98165557,1
35504,8ABFAD1028AA024C,Howard St & Lafayette St,Suffolk St & Stanton St,40.71910537,-73.99973337,40.72066442,-73.98517977,1
161932,D5CCFCB3C76B2FD7,Monroe St & Classon Ave,Lafayette Ave & Classon Ave,40.6845683,-73.95881081,40.68900443,-73.96023854,1
112799,78C9BB811B75484C,Warren St & W Broadway,Jay St & Tech Pl,40.714725733,-74.008960724,40.695065,-73.987167,1
169654,D809B09565E0CB4C,W 51 St & 6 Ave,Grand Army Plaza & Central Park S,40.7606597,-73.98042047,40.7643971,-73.97371465,1
180013,18E748B5F0C846E4,Broadway & W 41 St,W 51 St & Rockefeller Plaza,40.755216002,-73.986920476,40.75973805251143,-73.97811613976955,1
181969,F030A3754CC2948E,6 Ave & W 33 St,W 51 St & Rockefeller Plaza,40.74901271,-73.98848395,40.75973805251143,-73.97811613976955,1
88898,69E2239359F1F810,2 Ave & E 72 St,2 Ave & E 55 St,40.7687620293096,-73.95840793848038,40.757920208794026,-73.96638214588165,1
196810,AD54E9F0043E0CB8,E 128 St & Madison Ave,Broadway & W 53 St,40.80756,-73.939182,40.76344058,-73.98268129,1
56857,8D6848DBCC76F166,Carroll St & 6 Ave,Grand Army Plaza & Plaza St West,40.6740886,-73.9787282,40.6729679,-73.97087984,1
